host_species,genus,coral_uid,intensity_alpheus,intensity_trapezia
Pocillopora favosa,Pocillopora,12Pd1_control_unified,1.7333333333333334,3.0454545454545454
Pocillopora favosa,Pocillopora,12Pd2_control_unified,1.8181818181818181,2.16
Pocillopora favosa,Pocillopora,12Pd3_control_unified,1.3333333333333333,1.8125
Pocillopora favosa,Pocillopora,12Pd4_control_unified,2,1.8181818181818181
Pocillopora favosa,Pocillopora,12Pd5_control_unified,1.6,1.8666666666666667
Pocillopora favosa,Pocillopora,12Pd6_control_unified,2.2857142857142856,2.823529411764706
Pocillopora favosa,Pocillopora,12Pd7_control_unified,1,1.7
Pocillopora favosa,Pocillopora,13Pd1_control_unified,NA,NA
Pocillopora favosa,Pocillopora,13Pd2_control_unified,NA,NA
Pocillopora favosa,Pocillopora,14Pd1_control_unified,2,1.9473684210526316
Pocillopora favosa,Pocillopora,14Pd2_control_unified,2,1.875
Pocillopora favosa,Pocillopora,14Pd3_control_unified,NA,2
Pocillopora favosa,Pocillopora,14Pd4_control_unified,2,1.9375
Pocillopora favosa,Pocillopora,14Pd5_control_unified,2,1.7894736842105263
Pocillopora favosa,Pocillopora,1Pd1_control_unified,1.8571428571428572,1.9523809523809523
Pocillopora favosa,Pocillopora,1Pd10_control_unified,2,2
Pocillopora favosa,Pocillopora,1Pd2_control_unified,1,1.6153846153846154
Pocillopora favosa,Pocillopora,1Pd3_control_unified,NA,1.9090909090909092
Pocillopora favosa,Pocillopora,1Pd4_control_unified,NA,1
Pocillopora favosa,Pocillopora,1Pd5_control_unified,2.5555555555555554,3.15
Pocillopora favosa,Pocillopora,1Pd6_control_unified,3.111111111111111,4
Pocillopora favosa,Pocillopora,1Pd7_control_unified,1,2.090909090909091
Pocillopora favosa,Pocillopora,1Pd8_control_unified,2,2.1666666666666665
Pocillopora favosa,Pocillopora,1Pd9_control_unified,1.625,2.0526315789473686
Pocillopora favosa,Pocillopora,5Pd1_control_unified,NA,1.4
Pocillopora favosa,Pocillopora,5Pd2_control_unified,1.6666666666666667,1.7692307692307692
Pocillopora favosa,Pocillopora,6Pd1_control_unified,3.125,4.3076923076923075
Pocillopora favosa,Pocillopora,6Pd2_control_unified,3.8181818181818183,5.076923076923077
Pocillopora favosa,Pocillopora,6Pd3_control_unified,3.235294117647059,4.555555555555555
Pocillopora favosa,Pocillopora,6Pd4_control_unified,1.5,1.7777777777777777
Pocillopora favosa,Pocillopora,7Pd1_control_unified,3.3076923076923075,4.8
Pocillopora favosa,Pocillopora,8Pd1_control_unified,1.3333333333333333,1.9130434782608696
Pocillopora favosa,Pocillopora,8Pd2_control_unified,1,1.9375
Pocillopora favosa,Pocillopora,8Pd3_control_unified,1,1.6363636363636365
Pocillopora favosa,Pocillopora,8Pd4_control_unified,NA,1.4
Stylophora pistillata,Stylophora,12Sp1_control_unified,NA,1
Stylophora pistillata,Stylophora,12Sp2_control_unified,NA,1.2
Stylophora pistillata,Stylophora,12Sp3_control_unified,NA,1.9411764705882353
Stylophora pistillata,Stylophora,12Sp4_control_unified,NA,2
Stylophora pistillata,Stylophora,12Sp5_control_unified,NA,1.8333333333333333
Stylophora pistillata,Stylophora,12Sp6_control_unified,NA,2.0555555555555554
Stylophora pistillata,Stylophora,12Sp7_control_unified,NA,2
Stylophora pistillata,Stylophora,13Sp1_control_unified,NA,1.4285714285714286
Stylophora pistillata,Stylophora,13Sp2_control_unified,NA,1.9
Stylophora pistillata,Stylophora,14Sp1_control_unified,NA,1.5
Stylophora pistillata,Stylophora,14Sp2_control_unified,NA,1.8095238095238095
Stylophora pistillata,Stylophora,14Sp3_control_unified,NA,2
Stylophora pistillata,Stylophora,14Sp4_control_unified,4,3.2
Stylophora pistillata,Stylophora,14Sp5_control_unified,NA,2
Stylophora pistillata,Stylophora,14Sp6_control_unified,NA,1.5714285714285714
Stylophora pistillata,Stylophora,14Sp7_control_unified,NA,1.8333333333333333
Stylophora pistillata,Stylophora,1Sp1_control_unified,2,2
Stylophora pistillata,Stylophora,1Sp10_control_unified,1,1.8636363636363635
Stylophora pistillata,Stylophora,1Sp2_control_unified,NA,1.6875
Stylophora pistillata,Stylophora,1Sp3_control_unified,NA,1.5
Stylophora pistillata,Stylophora,1Sp4_control_unified,NA,1.7777777777777777
Stylophora pistillata,Stylophora,1Sp5_control_unified,1,1.4545454545454546
Stylophora pistillata,Stylophora,1Sp6_control_unified,NA,1.4285714285714286
Stylophora pistillata,Stylophora,1Sp7_control_unified,3,1.7647058823529411
Stylophora pistillata,Stylophora,1Sp8_control_unified,NA,1.4
Stylophora pistillata,Stylophora,1Sp9_control_unified,NA,1.7333333333333334
Stylophora pistillata,Stylophora,5Sp1_control_unified,NA,2.0952380952380953
Stylophora pistillata,Stylophora,5Sp2_control_unified,1,2.3333333333333335
Stylophora pistillata,Stylophora,6Sp2_control_unified,NA,2.0833333333333335
Stylophora pistillata,Stylophora,6Sp3_control_unified,NA,1.588235294117647
Stylophora pistillata,Stylophora,6Sp4_control_unified,NA,1.55
Stylophora pistillata,Stylophora,6Sp5_control_unified,NA,1.8571428571428572
Stylophora pistillata,Stylophora,7Sp1_control_unified,NA,1.8333333333333333
Stylophora pistillata,Stylophora,8Sp1_control_unified,NA,2.076923076923077
Stylophora pistillata,Stylophora,8Sp2_control_unified,1,1.8333333333333333
Stylophora pistillata,Stylophora,8Sp3_control_unified,NA,1.75
Stylophora pistillata,Stylophora,8Sp4_control_unified,NA,1
Stylophora pistillata,Stylophora,8Sp5_control_unified,NA,2
Stylophora pistillata,Stylophora,8Sp6_control_unified,NA,1.5714285714285714
Stylophora pistillata,Stylophora,8Sp7_control_unified,NA,1.9375
